Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No,Body Style,Dealer_Region,Year,Month
Male,30324,Ford,Expedition,DoubleOverhead Camshaft,Auto,Black,26000,64573834,SUV,Middletown,2022,1
Male,149439,Dodge,Durango,DoubleOverhead Camshaft,Auto,Black,19000,605047114,SUV,Aurora,2022,1
Male,142852,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500,387018047,Passenger,Greenville,2022,1
Male,112263,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000,993013882,SUV,Pasco,2022,1
Male,71041,Acura,TL,DoubleOverhead Camshaft,Auto,Red,24500,535469427,Hatchback,Janesville,2022,1
Male,36242,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000,852573102,Hatchback,Scottsdale,2022,1
Male,55468,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000,787587841,Passenger,Austin,2022,1
Male,117962,Mitsubishi,Galant,DoubleOverhead Camshaft,Auto,Pale White,42000,787587841,Passenger,Austin,2022,1
Male,81538,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000,852573102,Hardtop,Pasco,2022,1
Female,106801,Ford,Escort,DoubleOverhead Camshaft,Auto,Pale White,15000,852573102,Passenger,Scottsdale,2022,1
Male,96635,Acura,RL,Overhead Camshaft,Manual,Pale White,31000,787587841,SUV,Austin,2022,1
Male,115977,Nissan,Pathfinder,DoubleOverhead Camshaft,Auto,Pale White,46000,787587841,Hardtop,Pasco,2022,1
Male,128926,Mercury,Grand Marquis,DoubleOverhead Camshaft,Auto,Black,9000,605047114,SUV,Aurora,2022,1
Male,88119,BMW,323i,DoubleOverhead Camshaft,Auto,Pale White,15000,387018047,Hatchback,Greenville,2022,1
Male,37982,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,64573834,Sedan,Middletown,2022,1
Male,44458,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,605047114,Hatchback,Aurora,2022,1
Female,39072,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000,387018047,Hatchback,Greenville,2022,1
Female,126441,Cadillac,Eldorado,DoubleOverhead Camshaft,Auto,Pale White,31000,993013882,Passenger,Pasco,2022,1
Male,72361,Toyota,Land Cruiser,DoubleOverhead Camshaft,Auto,Pale White,33000,535469427,SUV,Janesville,2022,1
Male,66476,Honda,Accord,DoubleOverhead Camshaft,Auto,Pale White,21000,852573102,Sedan,Scottsdale,2022,1
Male,130553,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,787587841,Sedan,Austin,2022,1
Male,56850,Infiniti,I30,DoubleOverhead Camshaft,Auto,Black,21000,852573102,Hardtop,Austin,2022,1
Male,90611,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,64573834,Hardtop,Middletown,2022,1
Male,131331,Porsche,Carrera Cabrio,DoubleOverhead Camshaft,Auto,Pale White,18000,993013882,Passenger,Pasco,2022,1
Male,98510,Volkswagen,Jetta,DoubleOverhead Camshaft,Auto,Pale White,22000,535469427,Passenger,Janesville,2022,1
Male,97349,Dodge,Viper,DoubleOverhead Camshaft,Auto,Pale White,31250,852573102,SUV,Scottsdale,2022,1
Female,72248,Buick,Regal,DoubleOverhead Camshaft,Auto,Black,19000,787587841,Passenger,Austin,2022,1
Male,125401,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,535469427,Hatchback,Janesville,2022,1
Male,31317,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,787587841,Hatchback,Janesville,2022,1
Male,56430,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,64573834,Hatchback,Scottsdale,2022,1
Male,136680,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000,605047114,Sedan,Austin,2022,1
Male,104922,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,387018047,Hatchback,Middletown,2022,1
Male,30646,Honda,Accord,DoubleOverhead Camshaft,Auto,Pale White,19000,993013882,Sedan,Aurora,2022,1
Male,143867,Honda,Civic,Overhead Camshaft,Manual,Black,43000,852573102,Hatchback,Greenville,2022,1
Male,70444,Jaguar,S-Type,DoubleOverhead Camshaft,Auto,Black,16000,787587841,Passenger,Pasco,2022,1
Male,133246,Volvo,S40,DoubleOverhead Camshaft,Auto,Pale White,42000,64573834,Sedan,Middletown,2022,1
Male,35232,Mercury,Mountaineer,DoubleOverhead Camshaft,Auto,Pale White,21000,605047114,SUV,Aurora,2022,1
Male,90072,Buick,Park Avenue,DoubleOverhead Camshaft,Auto,Black,61000,387018047,Hatchback,Greenville,2022,1
Male,30199,Mitsubishi,Montero Sport,DoubleOverhead Camshaft,Auto,Pale White,39000,993013882,SUV,Pasco,2022,1
Female,84304,Nissan,Sentra,DoubleOverhead Camshaft,Auto,Black,16000,993013882,Passenger,Pasco,2022,1
Male,109926,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,535469427,Sedan,Janesville,2022,1
Female,139217,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,852573102,Sedan,Scottsdale,2022,1
Male,130970,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,787587841,Passenger,Austin,2022,1
Male,136727,Mitsubishi,Montero Sport,DoubleOverhead Camshaft,Auto,Black,45001,64573834,Hatchback,Middletown,2022,1
Male,128453,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,605047114,Hatchback,Aurora,2022,1
Male,149315,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,387018047,Hatchback,Greenville,2022,1
Male,43400,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,993013882,Hatchback,Pasco,2022,1
Male,73934,Acura,TL,DoubleOverhead Camshaft,Auto,Pale White,29000,852573102,Hatchback,Scottsdale,2022,1
Male,131097,Nissan,Altima,DoubleOverhead Camshaft,Auto,Pale White,20000,787587841,Hatchback,Austin,2022,1
Male,145480,Cadillac,DeVille,DoubleOverhead Camshaft,Auto,Pale White,22000,64573834,SUV,Middletown,2022,1
Male,128448,Dodge,Stratus,DoubleOverhead Camshaft,Auto,Pale White,31000,605047114,Hatchback,Aurora,2022,1
Male,148601,Audi,A4,DoubleOverhead Camshaft,Auto,Black,27000,535469427,Hardtop,Austin,2022,1
Female,63510,Mercury,Cougar,DoubleOverhead Camshaft,Auto,Black,33000,605047114,Hatchback,Scottsdale,2022,1
Male,128837,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,387018047,Hardtop,Middletown,2022,1
Male,51732,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,993013882,SUV,Middletown,2022,1
Male,143492,Saturn,SW,DoubleOverhead Camshaft,Auto,Pale White,25600,535469427,Passenger,Janesville,2022,1
Male,69322,Volvo,C70,Overhead Camshaft,Manual,Black,17000,852573102,Hatchback,Scottsdale,2022,1
Male,64654,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,787587841,SUV,Austin,2022,1
Male,90260,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,64573834,Hatchback,Middletown,2022,1
Male,140399,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,605047114,Passenger,Aurora,2022,1
Male,143703,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,64573834,Hardtop,Janesville,2022,1
Male,57339,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,535469427,Hatchback,Janesville,2022,1
Male,77298,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,852573102,Hatchback,Austin,2022,1
Female,133429,Audi,A6,DoubleOverhead Camshaft,Auto,Black,14000,64573834,SUV,Middletown,2022,1
Male,47643,Dodge,Intrepid,DoubleOverhead Camshaft,Auto,Pale White,31100,387018047,Sedan,Greenville,2022,1
Male,148665,Buick,Park Avenue,DoubleOverhead Camshaft,Auto,Black,61000,993013882,Hatchback,Pasco,2022,1
Male,127593,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,535469427,SUV,Janesville,2022,1
Male,34347,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,535469427,Passenger,Aurora,2022,1
Female,89923,Volvo,S40,DoubleOverhead Camshaft,Auto,Pale White,42000,852573102,Sedan,Greenville,2022,1
Male,110491,Mitsubishi,Diamante,DoubleOverhead Camshaft,Auto,Pale White,21000,787587841,Hatchback,Pasco,2022,1
Male,123626,Cadillac,DeVille,DoubleOverhead Camshaft,Auto,Pale White,22600,64573834,SUV,Middletown,2022,1
Female,55141,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,605047114,Passenger,Aurora,2022,1
Female,89719,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,387018047,SUV,Greenville,2022,1
Male,106753,Ford,Contour,DoubleOverhead Camshaft,Auto,Pale White,62000,993013882,Sedan,Pasco,2022,1
Male,106441,Volkswagen,Jetta,DoubleOverhead Camshaft,Auto,Black,22700,535469427,Passenger,Janesville,2022,1
Female,48239,Mitsubishi,Montero Sport,DoubleOverhead Camshaft,Auto,Black,45000,852573102,SUV,Scottsdale,2022,1
Male,45085,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,993013882,Hatchback,Pasco,2022,1
Male,107374,Ford,Focus,Overhead Camshaft,Manual,Black,49000,787587841,Hardtop,Austin,2022,1
Male,95125,Audi,A6,Overhead Camshaft,Manual,Black,15000,852573102,SUV,Scottsdale,2022,1
Male,115396,Acura,TL,DoubleOverhead Camshaft,Auto,Black,28000,787587841,Hatchback,Austin,2022,1
Male,88354,Nissan,Pathfinder,DoubleOverhead Camshaft,Auto,Pale White,46000,852573102,Hardtop,Greenville,2022,1
Female,138453,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,605047114,Hatchback,Aurora,2022,1
Male,59117,Oldsmobile,Cutlass,DoubleOverhead Camshaft,Auto,Pale White,41000,605047114,Sedan,Aurora,2022,1
Female,38498,Chevrolet,Corvette,DoubleOverhead Camshaft,Auto,Pale White,45000,387018047,SUV,Greenville,2022,1
Male,88747,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,993013882,Hatchback,Pasco,2022,1
Male,144275,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,535469427,Sedan,Janesville,2022,1
Male,127138,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,852573102,Sedan,Scottsdale,2022,1
Male,66873,Chrysler,300M,DoubleOverhead Camshaft,Auto,Black,26000,787587841,SUV,Austin,2022,1
Male,32503,BMW,328i,DoubleOverhead Camshaft,Auto,Black,18000,852573102,Sedan,Scottsdale,2022,1
